,blood_mac_1,blood_mac_2,blood_mac_3,sm_mac_1,sm_mac_2,sm_mac_3
Nup210,143.492416175438,124.376114264866,114.119413586316,117.295333282414,115.744401437867,103.793278994922
Hdac11,17.2952751673671,11.937719425542,8.5946377279526,10.4565607189749,8.35724178271654,8.22042769639785
Fbln2,7.49564323416976,1.60413104780721,2.79248157225897,3.63706459790432,2.34410440246927,0.664276985567503
1810044D09Rik,1.38239321941655,0.596885971277101,0.86877204470279,1.1365826868451,1.05314835473257,0.249103869587814
Chchd4,14.2847299339711,10.8558636026023,13.0315806705418,10.1724150472637,10.8372362954739,7.92980651521207
Tmem43,47.0320893094832,50.3622538265054,49.3338411099084,49.2708594747351,51.50235179918,50.734154772718
Xpc,24.1150817164888,23.1293313869877,21.9985492747956,21.7087293187414,19.7040659917707,17.2296843131571
Lsm3,13.3938543036804,13.6537665929637,10.2390990982829,11.9909473462158,10.7692912403298,10.9605702618638
Slc6a6,448.356200830769,474.300514926066,532.060822234409,488.105434865629,502.589572900441,496.464012088513
Grip2,7.71068217941234,6.90149404289148,6.54681790829602,11.7068016745045,6.65861540411562,6.47670060928315
C130022K22Rik,17.1109560714449,15.1459815211564,15.9171449618761,14.0936253168793,13.9966813596716,14.9047148636708
4930590J08Rik,0.552957287766622,0.29844298563855,0.496441168401594,3.29608979185079,0.543560441152295,0.954898166753286
Fgd5,16.281520139795,11.6392764399035,7.88100354837531,57.8520587604156,6.76053298683167,7.72221995722222
Nr2c2,81.3461610003341,74.9091893952762,103.849286915008,102.462929219086,91.1822640032975,100.015203639507
Mrps25,55.11140968074,50.1011162140717,65.4371515099351,64.4442383441172,56.3604232419786,58.4563747299403
Zfyve20,22.0875716613445,30.2173522959032,29.9416079692211,31.5969986942938,32.8174616345698,30.0170162853315
Prickle2,6.72764700116057,4.02898030612043,3.31995031368566,41.4852680698462,3.1254725366257,7.09946028325269
Adamts9,5.52957287766622,4.92430926303608,3.75433633603706,6.76266698672835,1.76657143374496,4.60842158737455
Magi1,10.8133869607695,6.26730269840956,7.04325907669762,11.1953394654242,3.66903297777799,5.60483706572581
Slc25a26,8.63227765902337,9.5128701672288,8.7808031661032,8.12656621094247,7.03231320740782,7.76373726882019
Lrig1,8.11004022057712,3.43209433484333,5.21263226821674,5.62608429988325,2.03835165432111,2.53255600747611
Kbtbd8,3.77854146640525,4.3647286649638,4.84030139191554,6.08071737462129,4.31451100164634,4.85752545696237
AY512915,0,0.447664478457826,0.0310275730250996,2.15950710500569,0.271780220576148,1.61917515232079
Suclg2,126.750098295838,71.1413467015895,96.7129451192356,57.9088878947579,52.1478298230483,41.434276974773
1700123L14Rik,0.215038945242575,0.335748358843369,0,2.44365277671697,0.373697803292203,0.37365580438172
A130022J15Rik,36.9866985817229,41.18513201812,42.4146923253112,51.7713413857944,46.6442803563813,52.3118126134409
Tmf1,75.8165881226679,63.1206914625534,83.4021162914678,79.6176172134993,83.6403628823094,83.9895213626912
Uba3,35.3892664170638,27.0463955734936,28.7625601942674,27.1074970812557,29.3522638222239,29.6848777925478
Arl6ip5,134.491500324571,125.607191580625,121.069589943939,108.884621399761,103.989906897948,111.640050886938
Lmod3,0.337918342524047,0.484969851662645,0.372330876301196,1.59121576158314,0.305752748148166,1.03793278994922
Frmd4b,188.097637388612,256.32521929031,238.229705686715,238.455047700102,305.14124265187,274.72005084376
Mitf,29.5524950461939,27.9417245304093,34.7198542150865,34.8362593518023,31.7303407522652,33.5044704595609
